HQC-192,keypair,123226550,0
HQC-192,encap,247906715,0
HQC-192,decap,376602262,0
HQC-256,keypair,225371357,0
HQC-256,encap,453320982,0
HQC-256,decap,691791665,0
ML-DSA-44,keypair,2804093,0
ML-DSA-44,sign,10251273,0
ML-DSA-44,verify,3422060,0
ML-DSA-65,keypair,4731727,0
ML-DSA-65,sign,8535869,0
ML-DSA-65,verify,5266414,0
ML-DSA-87,keypair,7964484,0
ML-DSA-87,sign,16409815,0
ML-DSA-87,verify,8577031,0
Falcon-512,keypair,195918661,0
Falcon-512,sign,61331253,0
Falcon-512,verify,1519501,0
Falcon-1024,keypair,1236864632,0
Falcon-1024,sign,134540228,0
Falcon-1024,verify,2370156,0
ML-KEM-512,keypair,802311,0
ML-KEM-512,encap,890129,0
ML-KEM-512,decap,1084799,0
ML-KEM-768,keypair,1249671,0
ML-KEM-768,encap,1414392,0
ML-KEM-768,decap,1651734,0
ML-KEM-1024,keypair,1922253,0
ML-KEM-1024,encap,2145184,0
ML-KEM-1024,decap,2463577,0
HQC-128,keypair,40389072,0
HQC-128,encap,81673213,0
HQC-128,decap,126400487,0
HQC-192,keypair,123238615,0
HQC-192,encap,247910534,0
HQC-192,decap,376603346,0
HQC-256,keypair,225360193,0
HQC-256,encap,453319435,0
HQC-256,decap,691786847,0
ML-DSA-44,keypair,2799601,0
ML-DSA-44,sign,6143238,0
ML-DSA-44,verify,3424642,0
ML-DSA-65,keypair,4734518,0
ML-DSA-65,sign,16515340,0
ML-DSA-65,verify,5266583,0
ML-DSA-87,keypair,7961272,0
ML-DSA-87,sign,17937368,0
ML-DSA-87,verify,8574936,0
Falcon-512,keypair,308976389,0
Falcon-512,sign,61291797,0
Falcon-512,verify,1516969,0
Falcon-1024,keypair,560439889,0
Falcon-1024,sign,134664579,0
Falcon-1024,verify,2367541,0
ML-KEM-512,keypair,804747,0
ML-KEM-512,encap,880995,0
ML-KEM-512,decap,1076726,0
ML-KEM-768,keypair,1237998,0
ML-KEM-768,encap,1411373,0
